id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
803814397190632412,Washington Park Inn - Room 5,493882819,Terra,,NINTH WARD,42.656329,-73.775205,Private room,136,1,3,2023-08-27,0.43,6,297,3,
803867986023966300,Washington Park Inn - Room 1,493882819,Terra,,NINTH WARD,42.656329,-73.775205,Private room,136,1,4,2023-07-28,0.56,6,302,4,
805896945977358156,Chadell's Chateau,496444061,Diana,,THIRD WARD,42.65588,-73.75332,Entire home/apt,89,1,58,2024-01-25,4.81,1,159,58,
806767523952124375,& Modern Luxury Cottage in Central ALB,110453341,Alexis,,FIFTH WARD,42.6684126,-73.7684199,Entire home/apt,103,1,18,2023-10-29,1.41,1,256,15,
812481224035365997,Adorable Albany Apartment!,266096073,Caroline,,THIRTEENTH WARD,42.67239,-73.79418,Entire home/apt,88,3,31,2023-12-29,2.57,1,27,31,
813640070361665090,The front room w/ TV and king size bed,116935236,Fs,,THIRTEENTH WARD,42.67143614564987,-73.79032550419785,Private room,50,2,10,2023-12-31,1.53,4,180,10,
816085193659797849,Cozy Apartment across the Park,37769478,Erion,,SIXTH WARD,42.65258,-73.76917,Entire home/apt,85,1,25,2023-12-11,2.02,8,350,24,
817160514282672518,Sophisticated Albany Vacation Rental,121680792,Evolve,,TENTH WARD,42.66011,-73.77547,Entire home/apt,101,2,0,,,5,318,0,
821566342267452838,COMFY Room/w Private BATH + TV,177073982,Cristian,,FOURTEENTH WARD,42.66109,-73.80479,Private room,55,2,3,2023-11-30,0.26,2,287,3,
823275570359807298,Cozy Home 5 Minute Drive to Albany Med Hospital,500360485,Manjano,,SIXTH WARD,42.65184046237008,-73.77073690770652,Entire home/apt,,2,0,,,1,0,0,
826301775871257033,2 br apt 2 min walk to albanymed offstreet parking,484673863,Blossom Estates,,NINTH WARD,42.65613,-73.77469,Entire home/apt,157,1,17,2024-01-28,1.42,2,302,17,
831122937768017113,Boho-Chic Cape  Conveniently Located,68750004,Tiffany,,FIFTEENTH WARD,42.67076,-73.82612,Entire home/apt,232,2,47,2024-02-04,4.15,1,184,47,
841524382518312215,Mellow Cove,462042479,Natasha,,SIXTH WARD,42.66007584297136,-73.76976949435519,Entire home/apt,120,2,1,2023-09-04,0.18,2,261,1,
841524433909352403,Cozy Cove Away From Home,462042479,Natasha,,SIXTH WARD,42.65987,-73.77025,Entire home/apt,120,2,11,2023-12-03,1.42,2,0,11,
843481456379840308,Gorgeous center square 2 BR,188679144,Elizabeth,,SIXTH WARD,42.65481,-73.76352,Entire home/apt,,1,2,2023-09-04,0.18,8,362,2,
845960193409947556,Modern Cottage-Perfect for Groups!,268741708,Nanette,,FIRST WARD,42.63504,-73.79833,Entire home/apt,236,2,46,2024-01-28,4.22,1,117,46,
846586211673806912,Spacious Home Away from Home!,49372011,Phil,,TWELFTH WARD,42.67336,-73.78619,Entire home/apt,175,3,12,2024-02-02,1.17,2,292,12,
849460179246794510,Your luxury home away from home,1761578,Grant,,SIXTH WARD,42.65432,-73.76531,Entire home/apt,288,2,0,,,2,260,0,
850173470105833039,Stunning Guest Suite in Historic 1874 Row House,120815848,Phat,,SECOND WARD,42.6446,-73.75885,Private room,90,1,62,2024-01-12,5.92,1,330,62,
850653820133738660,"Private queen bedroom near hospitals, schools",20536619,Emily,,THIRTEENTH WARD,42.67177,-73.79464,Private room,58,5,5,2023-11-03,0.75,3,143,5,
855336679720071303,Eclectic diverse pets fenced yard,186074828,Blake,,SECOND WARD,42.6457663,-73.7586141,Entire home/apt,85,1,28,2023-12-03,2.69,1,81,28,
857981934159027424,Updated Historic Brownstone Apt.,60293220,David,,THIRD WARD,42.65817,-73.74935,Entire home/apt,78,3,11,2023-12-16,1.24,3,340,11,
870292500281763717,A Charming  Quiet Unit in a Two-Family House,510191554,He,,FOURTEENTH WARD,42.66947,-73.81607,Entire home/apt,79,1,48,2023-12-17,4.77,1,8,48,
870457209918967324,Quiet Room Near Everything,177073982,Cristian,,FOURTEENTH WARD,42.66128,-73.80548,Private room,55,3,2,2024-02-02,0.44,2,0,2,
879054943124868639,Hot tub + close to everything!,24423279,Leslie,,FOURTEENTH WARD,42.66065,-73.80439,Private room,169,7,0,,,1,263,0,
880290989870286099,Spacious 3BR with 2BA & Laundry,49372011,Phil,,ELEVENTH WARD,42.67355,-73.78496,Entire home/apt,175,2,19,2024-01-26,2.06,2,107,19,
881231954286264195,Exposed Brick with Park Views,37769478,Erion,,SIXTH WARD,42.65379,-73.76901,Entire home/apt,89,1,8,2023-06-13,0.83,8,285,8,
882229561343619620,Modern / Downtown Albany 1 BR APT,512736975,Miguelino,,TENTH WARD,42.6599733,-73.7747433,Entire home/apt,80,2,32,2024-02-04,3.52,1,171,32,
887167811237271928,The Comfort II,459472925,Gabriel,,THIRD WARD,42.66246,-73.76576,Private room,45,1,14,2024-02-02,1.65,2,355,14,
887179061681202083,The Comfort,459472925,Gabriel,,THIRD WARD,42.6628771,-73.76534029999999,Private room,45,1,11,2023-09-15,1.21,2,360,11,
888859204851381094,Downtown Albany Apartment: Walkable Location!,121680792,Evolve,,THIRD WARD,42.6573,-73.7521,Entire home/apt,114,2,3,2023-08-27,0.33,5,352,3,
897797666103863249,2 Bedroom in quiet neighborhood,37769478,Erion,,TENTH WARD,42.66215778253739,-73.79234533756971,Entire home/apt,100,1,9,2024-01-21,1.12,8,358,9,
898743867240851780,"Airy Colonial Style 5 Br, 2 Ba, Kids Rm & Parking!",516414095,Rashawn,,TENTH WARD,42.66087,-73.78655,Entire home/apt,191,2,29,2024-02-11,3.61,1,0,29,
902166216060824525,2 bdrm Modern & Hip Apt w/ Patio,47625981,Linda,,SEVENTH WARD,42.64787,-73.76707,Entire home/apt,155,1,21,2023-12-26,2.61,15,308,21,
902326803627859755,*The LEO Home* Private Bedrooms,349460842,Scott,,TENTH WARD,42.66174,-73.78325,Private room,63,90,0,,,5,270,0,
904392960639597224,/Luxury Modern Western Hideout\,4259750,Peter,,THIRTEENTH WARD,42.6652959,-73.7868778,Entire home/apt,153,2,7,2023-10-09,0.84,9,163,7,
905007131419044966,*The Red House* 4 Bedrooms•Just Renovated/Listed,349460842,Scott,,TENTH WARD,42.66217,-73.78299,Entire home/apt,197,1,20,2024-01-20,2.78,5,318,20,
910155617642317638,Short Stay & Close to Hospitals (king),6203319,Melissa,,TENTH WARD,42.66292,-73.7909,Private room,,1,1,2023-07-26,0.15,3,0,1,
916983723755256572,Room in a quiet neighborhood,283643924,Joseph,,FOURTEENTH WARD,42.65872,-73.79555,Shared room,55,1,4,2023-07-31,0.54,1,364,4,
917510613914219375,Short Stay & Close to Hospitals (queen),6203319,Melissa,,TENTH WARD,42.66261,-73.79158,Private room,72,1,7,2023-12-03,0.95,3,89,7,
917639722733180899,Everything you need! Modern Gem on New Scotland,471810429,Maria,,SEVENTH WARD,42.651937304486545,-73.78593011701557,Entire home/apt,171,3,72,2024-01-29,9.11,1,0,72,
919055506310955442,Room for rent,502751555,Grace,,FIFTH WARD,42.67292,-73.7776,Private room,93,1,0,,,1,364,0,
919729008458872053,1Private room1B nearly AlbMed& St.Peter's Hospital,382446799,Elizabeth,,NINTH WARD,42.6559529,-73.7807478,Private room,33,1,5,2023-12-28,0.81,2,359,5,
921076441920995839,Work hard! Play hard!,521669673,Kody,,THIRD WARD,42.6586,-73.75743,Entire home/apt,80,7,2,2023-09-07,0.32,1,264,2,
922634062451094710,Charming 2 bdrm Apt- Home Away from Home,260986425,Connie,,NINTH WARD,42.65483722729842,-73.79149618599958,Entire home/apt,105,3,1,2023-08-14,0.16,1,15,1,
924826301876268684,1Private Room2B nearlyAlbMed & St.Peter's Hospital,382446799,Elizabeth,,NINTH WARD,42.654965911269095,-73.78021704609974,Private room,44,1,6,2023-09-18,0.83,2,352,6,
928948908785846870,Newly Renovated Gem in Melrose - Pet Friendly,441054845,Thaddeus,,THIRTEENTH WARD,42.67066076442359,-73.79571205018514,Entire home/apt,91,1,15,2024-02-08,2.24,1,236,15,
932618854176539492,Cozy space all on 1 floor close to U Albany,232967878,Diana,,THIRTEENTH WARD,42.672943350526445,-73.79225342780366,Entire home/apt,125,1,6,2024-01-07,0.84,19,362,6,
932642358896439621,Stylish top floor apt w/parking,232967878,Diana,,THIRTEENTH WARD,42.67132410762948,-73.79247186675903,Entire home/apt,150,1,10,2023-12-03,1.45,19,353,10,
934035097653060273,7,493882819,Terra,,SIXTH WARD,42.656549255922755,-73.77433674199318,Private room,136,1,3,2023-09-02,0.44,6,315,3,
934744844940967492,Downtown Albany Apartment: Walk to Capitol!,456511812,Evolve,,SIXTH WARD,42.65506,-73.76401,Entire home/apt,,2,0,,,1,0,0,
937837897631191844,Hudson 2 at The Argus Hotel,526358730,Argus,,SIXTH WARD,42.658672199777634,-73.77478693204898,Private room,184,1,2,2023-12-31,0.36,12,300,2,
937838302933205871,Hudson 1 at The Argus Hotel,526358730,Argus,,ELEVENTH WARD,42.6606,-73.77284,Private room,184,1,4,2024-01-04,0.92,12,300,4,
937917144482762419,Hudson 3 ADA at The Argus Hotel,526358730,Argus,,TENTH WARD,42.659082586070085,-73.77455698333637,Private room,184,1,4,2023-10-24,0.65,12,307,4,
937927979762952955,Hudson 4 at The Argus Hotel,526358730,Argus,,TENTH WARD,42.66043,-73.77432,Private room,184,1,0,,,12,302,0,
937935210290408974,Hudson 5 at The Argus Hotel,526358730,Argus,,SIXTH WARD,42.65846944486231,-73.77272373106814,Private room,,1,1,2023-10-22,0.26,12,306,1,
937943638262956751,Whalen Suite at The Argus Hotel,526358730,Argus,,SIXTH WARD,42.65908020134226,-73.77325860057209,Private room,207,1,1,2023-12-27,0.60,12,306,1,
937959604296602771,Whalen Deluxe at The Argus Hotel,526358730,Argus,,TENTH WARD,42.66003431746541,-73.77320091698593,Private room,,1,0,,,12,307,0,
937966967490420635,Whalen 3 at The Argus Hotel,526358730,Argus,,SIXTH WARD,42.658565440198664,-73.77439829468118,Private room,,1,0,,,12,292,0,
938260134617291567,Whalen 4 at The Argus Hotel,526358730,Argus,,SIXTH WARD,42.658926587547136,-73.77448006832087,Private room,,1,0,,,12,290,0,
938266199766701429,Knickerbocker 1 The Argus Hotel,526358730,Argus,,TENTH WARD,42.660367202946986,-73.77326955672677,Private room,,1,0,,,12,311,0,
938271786418327576,Knickerbocker 3 The Argus Hotel,526358730,Argus,,SIXTH WARD,42.65868261789235,-73.77332643473149,Private room,,1,0,,,12,305,0,
938280419686165005,Carriage House The Argus Hotel,526358730,Argus,,TENTH WARD,42.660362531234114,-73.77290224418863,Entire home/apt,364,1,5,2024-01-20,0.79,12,286,5,
938421117122010799,"The backroom with TV, Queen bed and extra futon",116935236,Fs,,ELEVENTH WARD,42.6708367,-73.7853116,Private room,45,2,10,2024-02-02,1.47,4,358,10,
938431811499141903,The little room with TV and twin bed,116935236,Fs,,THIRTEENTH WARD,42.669735657513975,-73.78610658197474,Private room,35,2,6,2024-02-05,0.87,4,362,6,
938475906652462790,Colorful and eclectic apartment,132766782,Kelly,,TWELFTH WARD,42.673982043290124,-73.7912638431355,Entire home/apt,110,3,0,,,1,233,0,
940012438497375577,"Sunny King bed, private bath, & garden",172539578,David Yisrael,,FIFTEENTH WARD,42.68001107488553,-73.81705995884008,Private room,71,2,2,2023-10-02,0.34,3,26,2,
942329036354117336,2-Br Apt near St. Peter's Hosp.,491607190,Abba,,FOURTEENTH WARD,42.65801,-73.80049,Entire home/apt,136,1,3,2023-10-01,0.55,6,0,3,
942355055662538072,1-BR w/ Private Balcony near St. Peter's Hospital,491607190,Abba,,FOURTEENTH WARD,42.657984040044035,-73.80128215056936,Private room,105,1,1,2023-08-07,0.16,6,12,1,
942750363293463100,The spacious room w/ dresser/desk,116935236,Fs,,ELEVENTH WARD,42.67033901962889,-73.78509801171585,Private room,50,2,1,2024-01-14,0.94,4,253,1,
943344283913343832,A G3M near Mansion 3Story Brick House Sleeps 20PPL,39656001,Urbangem,,SECOND WARD,42.642978050189676,-73.75701914464297,Entire home/apt,,1,0,,,6,364,0,
943359292008970578,A Luxury Experience Near Gov Mansion Sleeps 18+PPL,39656001,Urbangem,,SECOND WARD,42.64424112276753,-73.75675302182465,Entire home/apt,,2,0,,,6,364,0,
950211425725610511,"Historic, Spacious Mansion Suite",1717342,David,,SIXTH WARD,42.6541815,-73.76086049999999,Entire home/apt,127,1,50,2024-02-13,8.33,2,0,50,
950613505102507073,A beautiful cozy home,529844022,Shirin,,FIRST WARD,42.63855425549474,-73.76927029173929,Entire home/apt,,1,0,,,1,0,0,
956423465030072969,Comfy 1-Br Near Washington Park,491607190,Abba,,TENTH WARD,42.66000843071908,-73.77397295619353,Entire home/apt,,1,8,2023-11-01,1.33,6,0,8,
957914480227791276,"2 bedroom+home office, private parking & backyard",217254883,Ermenita,,NINTH WARD,42.6549886,-73.79390939999999,Entire home/apt,133,1,34,2024-02-12,5.67,1,334,34,
958199983873241221,Oasis Garden Apt w/Queen Bed,172539578,David Yisrael,,FIFTEENTH WARD,42.678962799458816,-73.81724461913109,Entire home/apt,118,3,1,2023-11-24,0.36,3,80,1,
961998123616790842,1-Br Apt Near NYS Capitol,491607190,Abba,,SIXTH WARD,42.655862861204575,-73.76206230663061,Entire home/apt,,1,3,2024-01-01,0.83,6,0,3,
963920695464462572,Comfy studio in heart of Albany,189586864,Justin,,SIXTH WARD,42.65240863051438,-73.77002141071337,Entire home/apt,89,1,14,2024-02-04,2.47,1,357,14,
966287799980701967,"Modern 2-bed apt / Hospitals, SUNY, State Office",374765317,Tanjin,,FIFTEENTH WARD,42.67059398561849,-73.81678288145305,Entire home/apt,98,3,4,2024-01-06,0.84,1,82,4,
971129128316810875,Morning Zen,535042691,Chadell,,THIRD WARD,42.65679550669701,-73.75335661522755,Entire home/apt,108,1,12,2023-12-25,2.59,1,0,12,
977732791678350126,Luxury Condo - Balcony - Jacuzzi,440217250,James,,THIRD WARD,42.65393539999999,-73.7513252,Entire home/apt,,180,0,,,1,293,0,
980034348801186320,Chic Madison Parkview,241123402,JShing,,SIXTH WARD,42.65312775001394,-73.76950465142727,Entire home/apt,125,1,3,2023-11-12,0.72,1,0,3,
980413726629488708,Intimate and Cozy Family House,536994984,Deanna,,SEVENTH WARD,42.652463321813265,-73.77498766972566,Entire home/apt,,1,0,,,1,269,0,
983306819910081094,The House That Pat Built,114183978,Tyrell,,FIFTH WARD,42.66627900500492,-73.76511947562057,Entire home/apt,120,2,1,2023-10-22,0.26,1,157,1,
983307301778877403,The Rizzy Stay,426223840,Antonio,,ELEVENTH WARD,42.66391565517209,-73.77786945551634,Entire home/apt,110,1,13,2024-01-24,2.69,2,244,13,
989010058281318863,Modern 1BR in a great location,75667477,Ahmad,,SIXTH WARD,42.65411,-73.76129,Entire home/apt,85,30,2,2023-11-07,0.44,1,80,2,
989897095065962672,Minutes from hospitals and Universities,109133858,Priscilla,,THIRTEENTH WARD,42.671599252081194,-73.79798656710622,Entire home/apt,218,1,0,,,1,265,0,
990935487146379699,Garden level apartment | Center Sq-great location!,93905065,Grace,,SIXTH WARD,42.652599240074956,-73.761780139996,Entire home/apt,87,1,2,2024-02-11,2,1,149,2,
992119832780871644,Two bedroom close to colleges!,152762198,Allen,,FOURTEENTH WARD,42.6709773627501,-73.80695225761066,Entire home/apt,99,3,4,2023-12-03,0.92,8,154,4,
992554549672159765,"Beautiful large home, private parking",476189412,Timothy,,SEVENTH WARD,42.64485687096462,-73.77281881169621,Entire home/apt,199,2,1,2024-02-09,1,2,56,1,
993431459821117738,Albany 3 Bedroom Apt. Sleeps 6,309980121,Ron,,SIXTH WARD,42.65623,-73.7641152,Entire home/apt,111,2,7,2024-01-26,1.69,1,0,7,
999161887055542119,"Spacious Apartment Downtown Albany, NY",531209536,Amar,,THIRD WARD,42.65761589542138,-73.75115885472674,Entire home/apt,150,30,7,2024-01-21,1.75,1,318,7,
1004978540001566331,Elegant Albany Retreat | Mins to Downtwn & St Rose,31318080,Cindy,,EIGHTH WARD,42.655497775508394,-73.8106566601018,Entire home/apt,196,2,0,,,1,153,0,
1005314747552182329,Lil' Studio on Washington Park,462767507,Joshua,,SIXTH WARD,42.65483900711961,-73.7674333870007,Entire home/apt,70,1,5,2023-12-29,1.29,4,346,5,
1005978346817864540,4BD/2BA 2-Story Townhouse Apt Downtown Albany,44434571,Earl,,SECOND WARD,42.64534889999999,-73.75364650000002,Entire home/apt,186,1,9,2024-02-05,2.48,6,338,9,
1007354086435981132,Top floor w/off street parking,232967878,Diana,,TENTH WARD,42.661365504548,-73.78482319521697,Entire home/apt,189,1,7,2023-12-31,2.06,19,268,7,
1010759793485911351,Cozy room walkable to eateries,382970529,Thomas,,THIRTEENTH WARD,42.67002775509383,-73.7977054151877,Private room,55,2,13,2024-01-22,3.75,10,261,13,
1010759799610182054,Cozy Room in Spacious Manor,382970529,Thomas,,THIRTEENTH WARD,42.6697096084112,-73.797549986088,Private room,55,1,12,2023-12-30,3.53,10,261,12,
1013659440189111738,Cozy Room Walkable to Eateries and Theatre,382970529,Thomas,,FOURTEENTH WARD,42.66873116573401,-73.79930289371134,Private room,56,1,13,2024-01-15,3.86,10,182,13,
1014871544925070480,Mini Mansion,509662927,Sergio,,EIGHTH WARD,42.645494388571485,-73.83282736350908,Entire home/apt,346,1,16,2024-02-11,5.05,1,299,16,
1015385216942267174,纽约州首府的温馨小屋,182509542,Yan,,NINTH WARD,42.6558992,-73.7965699,Private room,,1,0,,,1,78,0,
1016050146219474145,Heart of Albany - Downtown Near Everything,42708277,Rodney,,SIXTH WARD,42.65538680270734,-73.76416369206528,Entire home/apt,96,1,3,2023-12-28,0.88,2,311,3,
1018295677909928470,Sunny Room w/ Walk-In Closet,382970529,Thomas,,FOURTEENTH WARD,42.66792031298625,-73.79895760671212,Private room,66,1,15,2024-01-28,5.06,10,248,15,
1018299533220989494,Cozy room on bus line and walkable to everything!,382970529,Thomas,,THIRTEENTH WARD,42.66996089870569,-73.7981565369516,Private room,55,1,11,2024-02-05,3.47,10,266,11,
1018972187574908115,1 Comfy Bedroom Across the Park,37769478,Erion,,SIXTH WARD,42.6535,-73.77046,Entire home/apt,78,1,8,2024-02-02,2.73,8,363,8,
1020518500251473070,Downtown Studio,233515764,Etem,,SECOND WARD,42.64713879857583,-73.7546608201248,Entire home/apt,61,1,6,2024-02-09,2.57,1,0,6,
1020993107237604444,*N E W* Spacious Prime DT 1 Bedroom Apt w Office,47625981,Linda,,THIRD WARD,42.65859808957202,-73.76420635863742,Entire home/apt,120,1,1,2023-11-26,0.37,15,253,1,
1021011347006185640,*N E W* Modern 1 Bedroom RARE Apt w office space,47625981,Linda,,THIRD WARD,42.65970700274541,-73.76382104785372,Entire home/apt,119,1,3,2024-01-01,1.22,15,261,3,
1021559064135374208,Angani Place - Your Tranquil Retreat,426253886,Aggie,,SECOND WARD,42.64655138980193,-73.7597240543698,Entire home/apt,82,1,3,2024-01-13,1.88,3,252,3,
1023053182224590019,Great home in Albany,496990578,Brian,,ELEVENTH WARD,42.66838,-73.77868,Entire home/apt,99,2,9,2024-02-09,3.65,1,0,9,
1027525160219619647,home away from home,539608284,Joyhefsiba,,THIRD WARD,42.6605704874867,-73.76370206661538,Private room,45,1,0,,,2,269,0,
1028530521404077289,The Emerald Escape | Two Bed Apartment,462767507,Joshua,,SIXTH WARD,42.65487397780481,-73.76519868723663,Entire home/apt,103,3,5,2024-02-09,1.81,4,327,5,
1031769383031951534,Apartment near downtown Albany,542010451,Sophia,,THIRD WARD,42.65863677268644,-73.75184060852648,Entire home/apt,76,30,0,,,1,87,0,
1034722814589239236,"*Huge, bright, private 2Bedroom*",130404008,Michael,,THIRD WARD,42.65710530235223,-73.75132909012916,Entire home/apt,86,21,0,,,1,89,0,
1034818819017081948,"House w/ fish pond, gardens, sunroom and foosball",392833833,Mary,,TWELFTH WARD,42.6759553661711,-73.79260844002489,Entire home/apt,135,2,1,2023-12-09,0.44,1,248,1,
1040121861433023182,Good Vibes Only,519143007,Philip,,ELEVENTH WARD,42.6736802909505,-73.78413107868002,Entire home/apt,69,1,8,2024-02-11,4.07,1,77,8,
1040624808363695229,Safe - Sweet -Serene - Long Term,42708277,Rodney,,SIXTH WARD,42.65446887973431,-73.76077862456057,Entire home/apt,97,1,5,2024-01-31,3.33,2,220,5,
1041185569146627476,"Great Value!  6 Beds!  W/D, & Parking!",65282034,Archer,,TENTH WARD,42.66106893179246,-73.78973060044702,Entire home/apt,107,1,6,2024-02-07,2.90,1,255,6,
1043565517982254841,2 bed room Apartment,212885959,Osas,,SECOND WARD,42.639757084309245,-73.75705214104126,Entire home/apt,90,1,0,,,1,259,0,
1043698525924990350,Charming 1920s house sleeps 6-7,30218591,Rebecca,,FIFTEENTH WARD,42.6743202040481,-73.8155518362697,Entire home/apt,1750,2,0,,,1,60,0,
1045540313134380198,Private room in downtown Albany,480004905,Ramiz,,ELEVENTH WARD,42.661442815090325,-73.77351291441055,Private room,70,1,1,2024-02-11,1,2,269,1,
1051544181986274174,Renovated Cozy 1920’s Apartment,31994990,G.G.,,SEVENTH WARD,42.64478210549991,-73.7763956817521,Entire home/apt,53,15,0,,,2,127,0,
1052381112116173923,Charming Bungalow in Albany!,52464523,Dashima,,FIRST WARD,42.640812878490195,-73.7746275334913,Entire home/apt,70,30,1,2024-01-02,0.68,1,131,1,
1055481757202000214,Garden View Ground Apartment,28987572,Bryce,,SIXTH WARD,42.65098734769702,-73.76307767802679,Entire home/apt,77,2,0,,,1,76,0,
1056068682616336229,two private bedrooms near hospitals & schools,20536619,Emily,,THIRTEENTH WARD,42.671403853726794,-73.79431183637729,Private room,85,4,0,,,3,147,0,
1056469473906808728,"Bonjour, Bienvenue A Chez Pierre",553112010,Linda,,TWELFTH WARD,42.71489625673386,-73.87648858665645,Private room,103,2,0,,,1,268,0,
1057932481605319073,Apt,217818949,Nickolas,,FOURTH WARD,42.66311590202129,-73.7381032862318,Shared room,105,1,0,,,1,268,0,
1062527013885315764,private twin room prime location,20536619,Emily,,THIRTEENTH WARD,42.67096068386967,-73.79513938040748,Private room,52,6,2,2024-02-10,2,3,89,2,
1065321595350010741,nice home away from home,539608284,Joyhefsiba,,THIRD WARD,42.66092849580498,-73.76382128880334,Private room,53,1,0,,,2,269,0,
1072781767409521866,The Bluebird’s Nest,426223840,Antonio,,ELEVENTH WARD,42.663915656143736,-73.77786945551634,Entire home/apt,117,1,0,,,2,0,0,
1073179963201889958,In the heart of Albany,31994990,G.G.,,SEVENTH WARD,42.644728764618286,-73.77641182984108,Entire home/apt,53,30,0,,,2,271,0,
1074653929117126641,Room available,480004905,Ramiz,,ELEVENTH WARD,42.66282671665506,-73.77437066245602,Private room,60,1,0,,,2,269,0,
1075444056381274297,The Tangerine Door,542733174,Rebecca,,TWELFTH WARD,42.67908161690146,-73.79504903417528,Entire home/apt,110,2,1,2024-02-04,1,1,241,1,
1079742757364810916,Lark St Oasis: Parking & Laundry,119340359,Lori,,SIXTH WARD,42.65607073634355,-73.76345323405465,Entire home/apt,98,28,0,,,2,267,0,
